sparql,template_name,variables,answer,question
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""police and fire department stations"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'police and fire department stations'},"['R1', 'R2', 'R3', 'C1', 'C2', 'C3', 'C4']",Which zoning districts allow police and fire department stations?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""police and fire department stations"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'police and fire department stations'},"['R1', 'R2', 'R3', 'C1', 'C2', 'C3', 'C4']",Which zoning districts permit police and fire department stations?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""police and fire department stations"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'police and fire department stations'},"['R1', 'R2', 'R3', 'C1', 'C2', 'C3', 'C4']",I would like to build police and fire department stations.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cultural institutions (such as museums and art galleries)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'cultural institutions (such as museums and art galleries)'},"['C3', 'C4']",Which zoning districts allow cultural institutions (such as museums and art galleries)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cultural institutions (such as museums and art galleries)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'cultural institutions (such as museums and art galleries)'},"['C3', 'C4']",Which zoning districts permit cultural institutions (such as museums and art galleries)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""cultural institutions (such as museums and art galleries)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'cultural institutions (such as museums and art galleries)'},"['C3', 'C4']",I would like to build cultural institutions (such as museums and art galleries).  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""private garages"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'private garages'},"['R1', 'R2', 'R3']",Which zoning districts allow private garages?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""private garages"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'private garages'},"['R1', 'R2', 'R3']",Which zoning districts permit private garages?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""private garages"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'private garages'},"['R1', 'R2', 'R3']",I would like to build private garages.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""indoor swap meets"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'indoor swap meets'},"['FI2', 'FI3']",Which zoning districts allow indoor swap meets?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""indoor swap meets"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'indoor swap meets'},"['FI2', 'FI3']",Which zoning districts permit indoor swap meets?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""indoor swap meets"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'indoor swap meets'},"['FI2', 'FI3']",I would like to build indoor swap meets.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""salt works"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'salt works'},['FI3'],Which zoning districts allow salt works?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""salt works"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'salt works'},['FI3'],Which zoning districts permit salt works?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""salt works"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'salt works'},['FI3'],I would like to build salt works.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""mortuary and funeral homes"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'mortuary and funeral homes'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts allow mortuary and funeral homes?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""mortuary and funeral homes"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'mortuary and funeral homes'},"['C1', 'C2', 'C3', 'C4']",Which zoning districts permit mortuary and funeral homes?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""mortuary and funeral homes"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'mortuary and funeral homes'},"['C1', 'C2', 'C3', 'C4']",I would like to build mortuary and funeral homes.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""two-family dwellings"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'two-family dwellings'},"['R2', 'R3']",Which zoning districts allow two-family dwellings?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""two-family dwellings"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'two-family dwellings'},"['R2', 'R3']",Which zoning districts permit two-family dwellings?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""two-family dwellings"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'two-family dwellings'},"['R2', 'R3']",I would like to build two-family dwellings.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""open space"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'open space'},['A1'],Which zoning districts allow open space?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""open space"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'open space'},['A1'],Which zoning districts permit open space?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""open space"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'open space'},['A1'],I would like to build open space.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public parking lots"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public parking lots'},"['R1', 'R2', 'R3']",Which zoning districts allow public parking lots?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public parking lots"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public parking lots'},"['R1', 'R2', 'R3']",Which zoning districts permit public parking lots?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""public parking lots"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'public parking lots'},"['R1', 'R2', 'R3']",I would like to build public parking lots.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""regional commercial centers (including wholesale and retail sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'regional commercial centers (including wholesale and retail sales)'},['C4'],Which zoning districts allow regional commercial centers (including wholesale and retail sales)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""regional commercial centers (including wholesale and retail sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'regional commercial centers (including wholesale and retail sales)'},['C4'],Which zoning districts permit regional commercial centers (including wholesale and retail sales)?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""regional commercial centers (including wholesale and retail sales)"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'regional commercial centers (including wholesale and retail sales)'},['C4'],I would like to build regional commercial centers (including wholesale and retail sales).  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""quarries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'quarries'},['FI3'],Which zoning districts allow quarries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""quarries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'quarries'},['FI3'],Which zoning districts permit quarries?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""quarries"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'quarries'},['FI3'],I would like to build quarries.  Which zoning districts permits this use?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""auto-dismantling yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'auto-dismantling yards'},['FI3'],Which zoning districts allow auto-dismantling yards?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""auto-dismantling yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'auto-dismantling yards'},['FI3'],Which zoning districts permit auto-dismantling yards?
"
SELECT ?zoning_label

WHERE {
        ?zoning :permitsUse ""auto-dismantling yards"" .
        ?zoning rdfs:label ?zoning_label .
}
",template_use_1var_m_answer,{'use': 'auto-dismantling yards'},['FI3'],I would like to build auto-dismantling yards.  Which zoning districts permits this use?
"
ASK {
    ?zoning :permitsUse ""single-family dwellings"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'single-family dwellings', 'zoning': 'R1'}",True,Are single-family dwellings allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""single-family dwellings"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'single-family dwellings', 'zoning': 'R1'}",True,Are single-family dwellings permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""single-family dwellings"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'single-family dwellings', 'zoning': 'R2'}",True,Are single-family dwellings allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""single-family dwellings"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'single-family dwellings', 'zoning': 'R2'}",True,Are single-family dwellings permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""single-family dwellings"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'single-family dwellings', 'zoning': 'R3'}",True,Are single-family dwellings allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""single-family dwellings"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'single-family dwellings', 'zoning': 'R3'}",True,Are single-family dwellings permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""publicly owned and operated parks"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'publicly owned and operated parks', 'zoning': 'R1'}",True,Are publicly owned and operated parks allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""publicly owned and operated parks"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'publicly owned and operated parks', 'zoning': 'R1'}",True,Are publicly owned and operated parks permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""publicly owned and operated parks"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'publicly owned and operated parks', 'zoning': 'R2'}",True,Are publicly owned and operated parks allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""publicly owned and operated parks"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'publicly owned and operated parks', 'zoning': 'R2'}",True,Are publicly owned and operated parks permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""publicly owned and operated parks"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'publicly owned and operated parks', 'zoning': 'R3'}",True,Are publicly owned and operated parks allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""publicly owned and operated parks"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'publicly owned and operated parks', 'zoning': 'R3'}",True,Are publicly owned and operated parks permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""recreation centers"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'recreation centers', 'zoning': 'R1'}",True,Are recreation centers allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""recreation centers"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'recreation centers', 'zoning': 'R1'}",True,Are recreation centers permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""recreation centers"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'recreation centers', 'zoning': 'R2'}",True,Are recreation centers allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""recreation centers"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'recreation centers', 'zoning': 'R2'}",True,Are recreation centers permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""recreation centers"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'recreation centers', 'zoning': 'R3'}",True,Are recreation centers allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""recreation centers"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'recreation centers', 'zoning': 'R3'}",True,Are recreation centers permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""swimming pools and playgrounds"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'swimming pools and playgrounds', 'zoning': 'R1'}",True,Are swimming pools and playgrounds allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""swimming pools and playgrounds"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'swimming pools and playgrounds', 'zoning': 'R1'}",True,Are swimming pools and playgrounds permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""swimming pools and playgrounds"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'swimming pools and playgrounds', 'zoning': 'R2'}",True,Are swimming pools and playgrounds allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""swimming pools and playgrounds"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'swimming pools and playgrounds', 'zoning': 'R2'}",True,Are swimming pools and playgrounds permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""swimming pools and playgrounds"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'swimming pools and playgrounds', 'zoning': 'R3'}",True,Are swimming pools and playgrounds allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""swimming pools and playgrounds"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'swimming pools and playgrounds', 'zoning': 'R3'}",True,Are swimming pools and playgrounds permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'R1'}",True,Are police and fire department stations allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'R1'}",True,Are police and fire department stations permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'R2'}",True,Are police and fire department stations allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'R2'}",True,Are police and fire department stations permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'R3'}",True,Are police and fire department stations allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'R3'}",True,Are police and fire department stations permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C1"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C1'}",True,Are police and fire department stations allowed in a C1 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C1"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C1'}",True,Are police and fire department stations permitted in a C1 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C2"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C2'}",True,Are police and fire department stations allowed in a C2 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C2"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C2'}",True,Are police and fire department stations permitted in a C2 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C3"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C3'}",True,Are police and fire department stations allowed in a C3 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C3"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C3'}",True,Are police and fire department stations permitted in a C3 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C4"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C4'}",True,Are police and fire department stations allowed in a C4 zoning district?
"
ASK {
    ?zoning :permitsUse ""police and fire department stations"" ;
            rdfs:label ""C4"" .
}
",template_use_2var_yn_answer,"{'use': 'police and fire department stations', 'zoning': 'C4'}",True,Are police and fire department stations permitted in a C4 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'R1'}",True,Are public and governmental services allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'R1'}",True,Are public and governmental services permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'R2'}",True,Are public and governmental services allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'R2'}",True,Are public and governmental services permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'R3'}",True,Are public and governmental services allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'R3'}",True,Are public and governmental services permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C1"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C1'}",True,Are public and governmental services allowed in a C1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C1"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C1'}",True,Are public and governmental services permitted in a C1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C2"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C2'}",True,Are public and governmental services allowed in a C2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C2"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C2'}",True,Are public and governmental services permitted in a C2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C3"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C3'}",True,Are public and governmental services allowed in a C3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C3"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C3'}",True,Are public and governmental services permitted in a C3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C4"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C4'}",True,Are public and governmental services allowed in a C4 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""C4"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'C4'}",True,Are public and governmental services permitted in a C4 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'FI1'}",True,Are public and governmental services allowed in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""FI1"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'FI1'}",True,Are public and governmental services permitted in a FI1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'FI2'}",True,Are public and governmental services allowed in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""FI2"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'FI2'}",True,Are public and governmental services permitted in a FI2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'FI3'}",True,Are public and governmental services allowed in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public and governmental services"" ;
            rdfs:label ""FI3"" .
}
",template_use_2var_yn_answer,"{'use': 'public and governmental services', 'zoning': 'FI3'}",True,Are public and governmental services permitted in a FI3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public libraries"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'public libraries', 'zoning': 'R1'}",True,Are public libraries allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public libraries"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'public libraries', 'zoning': 'R1'}",True,Are public libraries permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public libraries"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'public libraries', 'zoning': 'R2'}",True,Are public libraries allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public libraries"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'public libraries', 'zoning': 'R2'}",True,Are public libraries permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public libraries"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'public libraries', 'zoning': 'R3'}",True,Are public libraries allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public libraries"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'public libraries', 'zoning': 'R3'}",True,Are public libraries permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'schools and colleges (excluding colleges or trade schools operated for profit)', 'zoning': 'R1'}",True,Are schools and colleges (excluding colleges or trade schools operated for profit) allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'schools and colleges (excluding colleges or trade schools operated for profit)', 'zoning': 'R1'}",True,Are schools and colleges (excluding colleges or trade schools operated for profit) permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'schools and colleges (excluding colleges or trade schools operated for profit)', 'zoning': 'R2'}",True,Are schools and colleges (excluding colleges or trade schools operated for profit) allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'schools and colleges (excluding colleges or trade schools operated for profit)', 'zoning': 'R2'}",True,Are schools and colleges (excluding colleges or trade schools operated for profit) permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'schools and colleges (excluding colleges or trade schools operated for profit)', 'zoning': 'R3'}",True,Are schools and colleges (excluding colleges or trade schools operated for profit) allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""schools and colleges (excluding colleges or trade schools operated for profit)"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'schools and colleges (excluding colleges or trade schools operated for profit)', 'zoning': 'R3'}",True,Are schools and colleges (excluding colleges or trade schools operated for profit) permitted in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public parking lots"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'public parking lots', 'zoning': 'R1'}",True,Are public parking lots allowed in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public parking lots"" ;
            rdfs:label ""R1"" .
}
",template_use_2var_yn_answer,"{'use': 'public parking lots', 'zoning': 'R1'}",True,Are public parking lots permitted in a R1 zoning district?
"
ASK {
    ?zoning :permitsUse ""public parking lots"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'public parking lots', 'zoning': 'R2'}",True,Are public parking lots allowed in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public parking lots"" ;
            rdfs:label ""R2"" .
}
",template_use_2var_yn_answer,"{'use': 'public parking lots', 'zoning': 'R2'}",True,Are public parking lots permitted in a R2 zoning district?
"
ASK {
    ?zoning :permitsUse ""public parking lots"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'public parking lots', 'zoning': 'R3'}",True,Are public parking lots allowed in a R3 zoning district?
"
ASK {
    ?zoning :permitsUse ""public parking lots"" ;
            rdfs:label ""R3"" .
}
",template_use_2var_yn_answer,"{'use': 'public parking lots', 'zoning': 'R3'}",True,Are public parking lots permitted in a R3 zoning district?
