question,document_identifier,question_identifier
Are manufacture and finishing allowed?,id9,qid954
Are open space permitted?,id9,qid955
Are open space allowed?,id9,qid956
Are regional commercial centers (including wholesale and retail sales) permitted?,id9,qid957
Are regional commercial centers (including wholesale and retail sales) allowed?,id9,qid958
Are automotive sales permitted?,id9,qid959
Are automotive sales allowed?,id9,qid960
Are rehabilitation centers permitted?,id9,qid961
Are rehabilitation centers allowed?,id9,qid962
Are temporary buildings permitted?,id9,qid963
Are temporary buildings allowed?,id9,qid964
Are two-family dwellings permitted?,id9,qid965
Are two-family dwellings allowed?,id9,qid966
Are cultural institutions (such as museums and art galleries) permitted?,id9,qid967
Are cultural institutions (such as museums and art galleries) allowed?,id9,qid968
Are minor automotive repair permitted?,id9,qid969
Are minor automotive repair allowed?,id9,qid970
Are self-storage warehouses permitted?,id9,qid971
Are self-storage warehouses allowed?,id9,qid972
Are wood products manufacturing and finishing permitted?,id9,qid973
Are wood products manufacturing and finishing allowed?,id9,qid974
Are community centers (including wholesale and retail sales) permitted?,id9,qid975
Are community centers (including wholesale and retail sales) allowed?,id9,qid976
Are carpet manufacturing permitted?,id9,qid977
Are carpet manufacturing allowed?,id9,qid978
Are cotton gins permitted?,id9,qid979
Are cotton gins allowed?,id9,qid980
Are salt works permitted?,id9,qid981
Are salt works allowed?,id9,qid982
Are restaurants permitted?,id9,qid983
Are restaurants allowed?,id9,qid984
Are monument works permitted?,id9,qid985
Are monument works allowed?,id9,qid986
Are furniture assembly permitted?,id9,qid987
Are furniture assembly allowed?,id9,qid988
Are police and fire department stations permitted?,id9,qid989
Are police and fire department stations allowed?,id9,qid990
Are automotive self-service motor fuel dispensing facilities permitted?,id9,qid991
Are automotive self-service motor fuel dispensing facilities allowed?,id9,qid992
Are public libraries permitted?,id9,qid993
Are public libraries allowed?,id9,qid994
Are warehouses permitted?,id9,qid995
Are warehouses allowed?,id9,qid996
Are small metal products design casting fabricating and processing permitted?,id9,qid997
Are small metal products design casting fabricating and processing allowed?,id9,qid998
Are private garages permitted?,id9,qid999
